fsd_id,k1,k2,bv1,bv3,bv6,k7,k8_1,k8_2,k8_3,k8_4,k9_1,k9_2,k9_3,k9_4,k9_5,k9_6,k9_7,k9_8,k9_9,k9_10,k9_11,k9_12,k9_13,k9_14,k9_15,k9_16,k9_17,k9_18,k9_19,k9_20,k9_21,k9_22,k9_23,k9_24,k9_25,k9_26,k9_27,k9_28,k9_29,k9_30,k13,k14,k15,k16,k17,k18,k19,k20,k21_1,k21_2,k21_3,k21_4,k21_5,k21_6,k21_7,k21_8,k21_9,k22_1,k22_2,k22_3,k22_4,k22_5,k22_6,k22_7,k22_8,k22_9,k22_10,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k95_1,k95_2,k95_3,k95_4,k95_5,k95_6,k95_7,k95_8,k95_9,k95_10,k95_11,k95_12,k95_13,k95_14,k95_15,k95_16,k95_17,k95_18,height,weight,gender,age,BMI,BMI.factor,Social_wellbeing,Social_engagement,Mental_wellbeing,Emotional_wellbeing,Accomplishment,Pressure,EXhaustion
2877,4,1,36,9,1,1,4,4,4,4,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,1,-1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,NA,0,0,2,1,2,2,2,1,2,2,1,1,1,2,4,1,4,1,1,1,2,1,2,4,5,4,4,4,4,5,4,4,177,82,Male,28-30,26.173832551310287,Overweight,-1.0649773696262228,-0.3440394063439005,-0.3150873070105108,-0.9725807169356994,0.8041747235235626,-0.299124512779992,-0.9188069493854861
2878,1,1,36,9,1,1,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,0,0,0,0,0,1,2,2,2,NA,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,3,5,4,5,4,4,5,5,5,191,81,Male,19-21,22.20333872426743,Normal weight,-1.1064095593480436,-2.1743762654051473,-1.5596771135116123,-0.17105744381902818,1.0318235594776661,-0.897873269869093,-0.9562754188194903
2879,3,2,36,9,1,1,3,2,1,3,2,1,4,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,4,3,3,3,1,1,4,1,0,0,0,0,0,0,-2,-1,-1,1,1,-1,1,-1,-1,1,1,0,0,1,0,1,0,1,1,2,1,2,2,2,2,2,2,2,3,1,2,6,3,6,1,4,1,4,1,4,4,5,6,6,4,2,4,6,1,164,61,Female,25-27,22.679952409280194,Normal weight,0.10009734129234082,-0.2619362477710054,-0.24958105330805952,-0.4070415975021724,0.8963758275879714,0.7440136276610371,0.48420460064541915
2880,3,2,36,9,1,1,4,3,4,4,2,1,3,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,4,1,1,2,1,1,1,1,2,3,1,1,3,1,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,NA,2,2,2,2,1,2,4,1,2,2,1,1,4,3,1,3,5,2,2,3,1,4,3,2,168,54,Female,25-27,19.13265306122449,Normal weight,NA,NA,NA,NA,-0.6459732034897409,0.04917390662642068,-1.1619549182646587
2881,2,2,36,9,1,1,4,3,4,4,2,2,3,2,2,2,1,2,2,3,3,1,2,1,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,3,1,0,0,0,0,1,0,-1,1,1,2,1,1,1,-1,1,2,0,2,0,0,0,1,1,0,1,2,3,2,2,3,1,1,2,1,1,1,1,4,1,3,4,1,1,4,3,2,2,4,2,3,4,2,4,3,3,173,64,Female,22-24,21.383941996057334,Normal weight,-0.9453204972450727,-0.5070000535880045,-1.8148366783734455,0.25182392654742813,-0.32307901515644816,0.6079987595227352,-1.0267282230376795
2882,2,1,36,9,1,1,5,5,4,5,2,1,3,2,3,1,1,2,1,3,2,1,4,2,3,1,1,4,1,1,2,1,1,2,1,2,2,1,1,1,3,1,0,0,0,0,0,0,-1,-1,1,2,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,3,5,2,4,5,3,2,5,3,5,4,4,178,72,Male,22-24,22.724403484408533,Normal weight,-0.6860545314936991,-0.2903540125417717,-0.3826340581922233,-0.9523827736405653,0.44539159855179905,-0.353186806161363,-0.7959658428370345
2883,1,2,36,9,1,2,4,4,4,4,3,2,3,1,4,1,2,3,1,3,2,1,2,1,2,1,1,1,2,2,1,1,1,3,2,2,1,2,2,2,3,1,0,0,0,0,0,0,1,0,0,1,1,2,2,1,0,2,3,1,0,0,0,1,0,0,0,2,1,1,2,3,1,2,2,2,1,1,2,4,1,5,5,1,1,5,3,5,2,3,3,5,5,3,3,2,2,166,62,Female,19-21,22.49963710262738,Normal weight,-0.860171329240155,-0.9285388879411125,-0.18081039697661813,-0.04339282293366831,-0.04589109599649441,1.557673270170734,-0.7160907434168232
2884,3,2,36,9,1,1,5,3,3,4,3,1,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,4,3,1,1,1,1,2,3,1,3,1,1,4,1,0,0,0,0,0,0,-1,0,2,2,2,2,2,1,2,3,0,0,0,2,0,0,1,0,1,2,1,2,2,3,2,2,2,1,1,1,2,5,3,3,1,3,1,3,4,4,2,2,2,2,2,2,2,3,2,166,66,Female,25-27,23.95122659311947,Normal weight,-0.9401289618942833,-0.3139019958149839,-0.34667389735066245,-0.015449993088095523,-1.2597078153395211,0.10868045791007121,0.3382164025699724
2885,2,2,36,9,1,NA,5,4,4,4,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,1,0,1,-1,1,1,2,1,1,1,1,2,0,0,0,0,0,0,0,2,1,2,2,2,1,2,2,1,1,1,2,4,1,3,1,1,1,4,1,1,4,6,4,5,5,3,3,5,3,178,72,Female,22-24,22.724403484408533,Normal weight,-1.0649773696262228,-0.3440394063439005,-0.3150873070105108,-0.9725807169356994,0.8141079233757667,-0.1599474860662891,-1.0805419681864408
2886,1,2,36,9,1,1,4,4,4,4,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,4,1,0,0,0,0,0,0,1,-1,1,-1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,2,2,2,3,2,2,2,2,2,2,2,4,2,2,2,2,1,3,3,3,3,5,3,4,4,3,4,6,4,166,72,Female,19-21,26.1286108288576,Overweight,0.30338292419915347,-0.3202582137817794,-0.22669587673820085,0.33608278504911476,0.5544272112412434,-0.004618182294857345,-0.46758505361566227
2887,3,2,36,9,1,1,4,5,5,NA,NA,2,3,1,3,2,1,1,1,NA,1,1,2,1,1,1,1,1,3,1,1,1,1,2,3,1,1,1,1,1,5,1,0,0,0,0,0,0,-2,0,2,1,0,1,-1,0,0,3,0,1,0,0,0,1,0,0,0,3,1,2,2,3,3,2,2,1,2,1,2,4,2,5,2,1,1,4,4,4,2,5,4,3,4,4,3,5,4,159,71,Female,25-27,28.084332107116012,Overweight,-0.44511543594491043,0.12940554946179586,-0.38121001530358273,0.5606578620188181,0.25463145715779756,0.9799583334513227,-0.5940463462355042
2888,2,2,36,9,1,2,2,2,4,3,2,1,3,1,3,3,4,4,3,4,3,1,2,1,2,2,1,1,3,1,1,1,2,3,2,3,2,3,2,1,1,0,3,0,0,0,0,1,1,1,2,0,-1,1,-1,NA,-1,3,2,2,1,0,0,2,2,2,3,NA,3,2,2,2,2,2,2,2,2,1,2,4,1,2,2,1,2,3,1,3,4,5,4,4,5,4,5,5,3,154,49,Female,22-24,20.66115702479339,Normal weight,NA,NA,NA,NA,0.942234370400334,-0.0461420351383359,-0.9450739016309831
2889,2,2,36,9,1,1,4,5,5,4,2,1,2,1,3,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,2,1,1,2,3,1,2,2,1,1,1,2,3,1,2,2,1,1,1,1,1,4,6,4,4,5,3,6,5,4,164,52,Female,22-24,19.333729922665082,Normal weight,-1.1181260718857025,-0.8428742373589734,-0.3914358373305751,-0.2333645940838016,1.1490687368407502,-0.8013874536968308,-1.162167085292744
2890,5,2,36,9,1,1,4,4,4,4,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,NA,1,0,0,0,0,0,0,1,1,1,-1,1,1,1,2,2,1,1,1,1,0,0,0,0,1,NA,2,1,2,2,1,1,2,1,1,1,1,1,3,1,4,1,2,2,1,4,2,3,4,2,4,4,4,4,4,3,167,63,Female,31-33,22.589551436050055,Normal weight,-1.0709831761568513,-0.6693070627071183,-1.5423866098997527,-1.4435383402830464,0.21313912127224027,-0.5399979696881495,-0.2472249002058937
2891,4,1,36,9,1,1,4,4,5,4,1,1,4,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,4,1,2,2,1,1,4,1,0,0,0,0,0,0,1,-1,2,2,2,1,1,2,1,3,0,1,1,0,0,1,1,0,1,2,1,2,2,2,3,2,2,3,2,1,2,1,2,1,5,5,2,6,2,1,2,5,6,2,3,1,2,2,3,174,83,Male,28-30,27.414453692693883,Overweight,0.1284035378133333,-0.34088927060449675,0.018565453939529283,0.09790369204595235,-0.5411692566904465,0.2920970089513242,0.5102481002733601
2892,4,2,36,4,1,NA,4,3,4,4,2,2,2,2,2,2,2,3,1,3,4,3,3,1,1,1,1,1,2,1,4,1,1,3,4,2,3,3,1,1,3,0,0,0,0,0,0,0,-2,1,1,-1,0,2,-2,-2,-2,0,0,0,0,0,0,2,2,0,1,1,2,1,2,2,2,1,2,2,2,1,1,1,5,6,4,6,6,6,6,3,2,3,1,2,1,1,1,2,2,172,68,Female,28-30,22.985397512168742,Normal weight,-0.16895813389965317,-1.2473776904250924,-1.7370458402934152,-0.3039440519269945,-1.6300733284144204,1.1625531807722747,2.5853320097220176
2893,3,2,36,4,1,1,4,2,4,3,3,3,4,1,2,2,1,3,1,4,2,1,2,1,1,2,1,1,2,1,4,1,2,4,4,4,3,4,1,4,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,1,2,1,2,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,164,56,Female,25-27,20.820939916716245,Normal weight,-0.4981040595614108,-0.22870232827836853,-0.41366061140896543,-0.2415430089103372,-1.2327694996267688,2.4894701946472466,2.733584087138032
2894,NA,1,36,4,1,1,5,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,0,0,1,0,0,1,1,-1,0,0,0,2,0,2,1,1,1,0,1,0,0,0,0,0,2,2,1,2,2,3,1,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,72,Male,NA,22.724403484408533,Normal weight,-1.0894032539022522,-0.37429901736576043,-0.3366482130625818,-0.350621454781221,NA,NA,NA
2895,NA,2,36,4,1,1,4,4,4,4,1,1,1,1,NA,1,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,1,1,1,NA,NA,4,1,3,0,0,0,1,0,2,-1,1,0,-1,-1,1,1,1,2,2,1,1,1,NA,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,56,Female,NA,19.841269841269845,Normal weight,0.2681787676948318,-1.2987422998681282,-0.10407520612060235,-0.503948309567448,NA,NA,NA
2896,1,2,36,4,1,NA,4,4,4,4,2,2,3,1,4,3,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,3,1,0,0,0,0,1,0,1,-1,1,1,1,NA,-1,1,1,2,1,1,1,0,0,1,0,0,0,2,2,3,2,2,1,3,2,1,1,1,2,3,1,4,3,1,1,4,6,2,3,5,3,3,5,5,4,4,3,173,62,Female,19-21,20.715693808680545,Normal weight,-1.0985599891830864,0.24233821225535893,0.15861816892768488,-0.3587395785835522,0.4321291497188967,0.7111567442892961,-0.7410163827246091
2897,1,2,36,4,1,1,4,3,4,3,2,2,1,2,2,2,1,4,4,4,4,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,0,0,0,0,0,0,1,1,2,2,1,1,2,NA,1,2,1,1,3,2,1,2,2,2,2,2,3,2,2,3,3,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,5,3,3,177,69,Female,19-21,22.024322512687924,Normal weight,0.6483065213123559,-0.22772344420709545,0.39282173099787787,1.5923240169419401,1.1284325061948064,-1.5323675600372941,-0.816218783134426
2898,2,2,36,4,1,2,4,3,4,3,3,3,3,3,3,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,1,1,4,2,0,0,0,0,1,0,-2,0,1,1,1,2,2,0,0,4,0,2,0,2,0,4,3,2,2,4,4,2,2,4,4,3,4,3,3,3,3,6,4,6,6,4,2,6,1,2,1,5,1,1,3,1,4,2,3,154,55,Female,22-24,23.19109461966605,Normal weight,1.7189570250671697,1.2325645678009918,1.8581127669779258,3.057027841666575,-1.0370702476385512,2.039243490844462,0.31802314211640254
